Tanaman Pangan,Pertanian Kehutanan dan Perikanan
Tanaman Hortikultura,Pertanian Kehutanan dan Perikanan
Perkebunan,Pertanian Kehutanan dan Perikanan
Peternakan,Pertanian Kehutanan dan Perikanan
Jasa Pertanian dan Perburuan,Pertanian Kehutanan dan Perikanan
Kehutanan dan Penebangan Kayu,Pertanian Kehutanan dan Perikanan
Perikanan,Pertanian Kehutanan dan Perikanan
Pertambangan Minyak Bumi Gas Alam dan Panas Batubara dan Lignit,Pertambangan dan Penggalian
Pertambangan Bijih Logam,Pertambangan dan Penggalian
Pertambangan dan Penggalian Lainnya,Pertambangan dan Penggalian
Industri Batubara dan Pengilangan Migas,Industri Pengolahan
Industri Makanan Minuman dan Tembakau,Industri Pengolahan
Industri Tekstil,Industri Pengolahan
Industri Pakaian Jadi,Industri Pengolahan
Industri Kulit Barang dari Kulit,Industri Pengolahan
Industri Alas Kaki,Industri Pengolahan
Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya,Industri Pengolahan
Industri Kertas dan Barang dari Kertas,Industri Pengolahan
Industri Percetakan dan Reproduksi Media Rekaman,Industri Pengolahan
Industri Kimia,Industri Pengolahan
Industri Farmasi Produk Obat Kimia dan Obat Tradisional,Industri Pengolahan
Industri Karet Barang dari Karet,Industri Pengolahan
Industri Barang dari Plastik,Industri Pengolahan
Industri Barang Galian bukan Logam,Industri Pengolahan
Industri Besi Dan Baja Dasar (24101),Industri Pengolahan
Industri Barang-Barang Dari Besi Dan Baja Dasar (24102-3),Industri Pengolahan
Industri Logam Dasar Bukan Besi (242),Industri Pengolahan
Industri Barang-Barang Dari Logam Dasar Bukan Besi (243),Industri Pengolahan
Industri Barang dari Logam,Industri Pengolahan
Industri Komputer Barang Elektronik Optik dan Peralatan Listrik,Industri Pengolahan
Industri Mesin dan Perlengkapan YTDL,Industri Pengolahan
Industri Alat Angkutan,Industri Pengolahan
Industri Furnitur,Industri Pengolahan
Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan,Industri Pengolahan
Ketenagalistrikan,Pengadaan Listrik Gas
Gas,Pengadaan Listrik Gas
Pengadaan Air,Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang
Konstruksi,Konstruksi
Perdagangan Besar dan Eceran dan Reparasi Mobil dan Sepeda Motor,Perdagangan Besar dan Eceran Reparasi Mobil dan Sepeda Motor
Angkutan Rel,Transportasi dan Pergudangan
Angkutan Darat,Transportasi dan Pergudangan
Angkutan Laut,Transportasi dan Pergudangan
Angkutan Sungai Danau dan Penyeberangan,Transportasi dan Pergudangan
Angkutan Udara,Transportasi dan Pergudangan
Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir,Transportasi dan Pergudangan
Penyediaan Akomodasi,Penyediaan Akomodasi dan Makan Minum
Penyediaan Makan Minum,Penyediaan Akomodasi dan Makan Minum
Informasi dan Komunikasi,Informasi dan Komunikasi
Bank,Jasa Keuangan dan Asuransi
Asuransi dan Dana Pensiun,Jasa Keuangan dan Asuransi
Jasa Keuangan Lainnya dan Jasa Penunjang Keuangan,Jasa Keuangan dan Asuransi
Real Estate,Real Estat
Jasa Perusahaan,Jasa Perusahaan
Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib 
Jasa Pendidikan,Jasa Pendidikan 
Jasa Kesehatan dan Kegiatan Sosial,Jasa Kesehatan dan Kegiatan Sosial 
Jasa Hiburan Rekreasi dan Kebudayaan Swasta,Jasa lainnya 
Jasa lainnya,Jasa lainnya 
