ID,Sektor,Labour
1,Padi,72511
2,Jagung,20887
3,Ketela pohon,25420
4,Kacang tanah,16673
5,Kedelai,8941
6,Sayur-sayuran,37980
7,Buah-buahan,34872
8,Tanaman Pangan & Hortikultura lainnya,50459
9,Tebu,398
10,Kelapa,4460
11,Tembakau,268
12,Tanaman perkebunan lainnya,5095
13,Ternak sapi & hasilnya kecuali susu segar,9230
14,Susu segar,1309
15,Unggas dan hasil-hasilnya,109114
16,Hasil pemeliharaan hewan lainnya,39755
17,Jasa pertanian dan perburuan,12100
18,Kehutanan dan penebangan kayu,24951
19,Ikan laut dan hasil lainnya,893
20,Ikan darat dan hasil perairan darat,21650
21,Pertambangan garam kasar dan penggalian lainnya ,5111
22,Ind. Daging jeroan dan sejenisnya,6950
23,Ind. Pengolahan & pengawetan makanan,1509
24,Ind. Beras,20519
25,Ind. Susu dan makanan dari susu,31020
26,Ind. Tepung terigu & tepung lainnya,224
27,Ind. Roti biskuit dan sejenisnya,12855
28,Ind. Mie makaroni dan sejenisnya,1625
29,Ind. Gula,10904
30,Ind. Biji-bijian kupasan coklat & kembang gula,2883
31,Ind. Kopi giling dan Teh,1069
32,Ind. pengolahan kedele,15392
33,Ind. Makanan & minuman lainnya,35530
34,Ind. pengolahan tembakau,12038
35,Ind. Tekstil selain tenun dan batik,8939
36,Ind. Tenun,419
37,Ind. Batik,1064
38,Ind. Pakaian jadi,18043
39,Ind. kulit barang dari kulit dan alas kaki ,10008
40,Ind. Kayu gergajian dan awetan,533
41,Ind. Perabot rumah tangga dan lainnya dari kayu/bambu selain furnitur,6738
42,Ind. kertas & barang dari kertas percetakan media rekam,537
43,Ind. Pupuk dan Pestisida,157
44,Ind. Kilang Minyak LPG Brg Kimia kec. Pupuk & Pestisida,1269
45,Ind. Ban & barang lainnya dari karet,129
46,Ind. Barang-barang plastik,5756
47,Ind. Kaca dan barang-barang dari kaca,369
48,Ind. Barang galian bukan logam lainnya,3836
49,Ind. Barang dari Semen,6560
50,Ind. Barang-barang logam lainnya,11237
51,Ind. Alat listrik & perlengkapannya,11339
52,Ind. Mesin dan perlengkapan serta Alat Angkutan,10402
53,Ind. Furnitur,20367
54,Ind. Barang-barang perhiasan,706
55,Ind. Pengolahan lainnya,2403
56,Jasa reparasi mesin,8
57,Listrik,5906
58,Pengadaan air,5861
59,Konstruksi gedung & bangunan sipil,107420
60,Konstruksi khusus,38929
61,Perdagangan besar dan eceran selain mobil/motor,217121
62,Perdagangan mobil motor dan reparasi mobil/motor,44584
63,Angkutan Rel,2750
64,Angkutan Darat Laut Sungai Danau & Penyebrangan,17084
65,Angkutan udara,6843
66,Pergudangan Jasa penunjang angkutan pos & kurir,7764
67,Penyediaan akomodasi,21393
68,Penyediaan makan minum,222817
69,Informasi dan komunikasi,34391
70,Bank,51293
71,Asuransi dan dana pensiun,8650
72,Jasa keuangan lainnya,12958
73,Jasa penunjang keuangan,511
74,Real Estate,9067
75,Jasa hukum akuntan konsultan arsitek penelitian,3479
76,Jasa Periklanan,946
77,Jasa Agen Perjalanan Penyelenggara Tur & Jasa Reservasi Lainnya,717
78,Jasa perusahaan lainnya,2844
79,Adm. Pemerintahan pertahanan & jaminan sosial wajib,138712
80,Jasa pendidikan,173373
81,Jasa kesehatan dan kegiatan sosial,23029
82,Kebudayaan hiburan dan rekreasi,3496
83,Jasa lainnya,18688
