Year,Energi,Limbah,Kehutanan,Pertanian
2010,2036178.312,257.0729545,0,1166749.272
2011,2172219.687,9.0002052,76247140.67,1141212.646
2012,2319591.119,5.3073145,75837425.63,1164683.707
2013,2478935.993,6.6645136,75442433.9,1188469.462
2014,2650873.985,10.5540626,75061473.8,1212512.542
2015,2835992.804,7.3796367,74693891,1236768.588
2016,3034843.066,7.3270014,74339065.9,1261202.735
2017,3247938.002,7.2548532,73996412.2,1285787.187
2018,3475759.923,7.232935,73665374.4,1310499.501
2019,3718775.519,7.1800784,73345426.8,1335321.355
2020,3977462.112,7.1237146,73036070.6,1360237.642
2021,4254345.609,7.0556798,72736833.4,1385235.792
2022,4551451.331,6.9934504,72447267.2,1410305.265
2023,4870298.862,6.9123966,72166947,1435437.155
2024,5212523.999,6.8355985,71895469.5,1460623.888
2025,5579887.74,6.7453295,71632453,1485858.985
2026,5974285.97,6.659419,71377532,1511136.871
2027,6397759.908,6.5861659,71130364,1536452.723
2028,6852507.361,6.4951414,70890620,1561802.352
2029,7340894.863,6.4154957,70657989,1587182.1
2030,7865470.757,6.3236906,0,1612588.765
